日付,米ドル,英ポンド,ユーロ,カナダドル,スイスフラン,スウェーデンクローネ,デンマーククローネ,ノルウェークローネ,オーストラリアドル,ニュージーランドドル,南アフリカランド,バーレーンディナール,香港ドル,インドルピー,フィリピンペソ,シンガポールドル,タイバーツ,クウェートディナール,サウジアラビアリアル,UAEディルハム,メキシコペソ,インドネシアルピア,台湾ドル
2002/8/1,119.95,187.4,117.22,75.67,80.71,12.66,15.79,15.72,64.93,55.66,11.79,318.68,15.38,2.48,2.35,68.05,2.87,400.5,32,32.67,12.17,1.34,3.59
2002/8/2,119,186.01,117.44,74.85,81.07,12.36,15.81,15.63,64.19,55.19,11.69,316.15,15.26,2.46,2.33,67.76,2.84,397.86,31.75,32.41,12.13,1.33,3.57
2002/8/5,118.95,186.47,117.14,75.12,80.7,12.38,15.77,15.52,64.03,55.2,11.66,316.02,15.25,2.45,2.33,67.92,2.83,396.24,31.73,32.39,12.12,1.32,3.56
2002/8/6,119.7,186.4,117.07,74.95,80.61,12.41,15.77,15.61,63.2,54.55,11.44,318.01,15.35,2.47,2.33,67.89,2.83,398.47,31.93,32.6,12.24,1.33,3.57
2002/8/7,121,186.23,117.07,76.31,80.22,12.55,15.77,15.53,64.13,54.78,11.44,321.47,15.51,2.49,2.34,68.27,2.85,403.33,32.28,32.95,12.44,1.34,3.59
2002/8/8,120.15,185.07,117.22,76.1,80.41,12.61,15.8,15.64,64.4,54.74,11.56,319.21,15.4,2.48,2.33,68.1,2.84,400.77,32.05,32.72,12.4,1.34,3.58
2002/8/9,121.2,185.73,117.19,76.66,80.11,12.63,15.78,15.7,64.66,55.11,11.68,322,15.54,2.5,2.35,68.39,2.86,403.87,32.33,33.01,12.46,1.37,3.6
2002/8/12,119.85,182.87,116.37,76.22,79.77,12.55,15.68,15.62,64.16,54.92,11.49,318.41,15.37,2.47,2.33,68.02,2.84,398.17,31.97,32.64,12.27,1.35,3.56
2002/8/13,118.9,181.7,116.31,75.47,79.56,12.57,15.67,15.61,64.21,55.16,11.42,315.89,15.24,2.46,2.31,67.58,2.82,395.41,31.72,32.38,12,1.35,3.54
2002/8/14,118.25,181.97,116.54,75.43,79.74,12.58,15.7,15.7,63.26,53.9,11.24,314.16,15.16,2.44,2.29,67.44,2.82,395.09,31.55,32.2,11.9,1.34,3.52
2002/8/15,117.4,180.4,114.95,75.06,78.61,12.48,15.48,15.47,63.36,54.29,11.2,312.07,15.05,2.43,2.27,67.12,2.8,392.12,31.32,31.97,11.79,1.35,3.49
2002/8/16,117.5,180.23,115.23,75.38,78.76,12.46,15.52,15.54,63.9,54.9,11.09,312.33,15.06,2.43,2.28,67.23,2.82,392.45,31.35,32,11.85,1.35,3.5
2002/8/19,117.55,181.23,115.97,75.4,79.08,12.59,15.62,15.71,64.25,55.1,11.16,312.3,15.07,2.43,2.27,67.31,2.81,391.57,31.36,32.01,11.99,1.35,3.5
2002/8/20,118.6,181.2,115.82,75.42,78.91,12.58,15.6,15.74,64.41,55.53,11.19,315.09,15.21,2.45,2.29,67.69,2.82,394.41,31.64,32.3,12.2,1.35,3.52
2002/8/21,118.5,181.41,116.25,75.74,79.15,12.66,15.66,15.86,64.93,55.87,10.94,314.82,15.19,2.45,2.29,67.78,2.82,395.53,31.61,32.27,12.12,1.35,3.51
